"","lat","lon","num_flr","retrofit","struc_type","occ_day","class"
"1006",27.6741102,85.3577793,4,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",30,"Non-retrofitted URM"
"1007",27.675765,85.3596813,1,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",290,"Non-retrofitted URM"
"1008",27.6756734,85.3598325,1,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",120,"Non-retrofitted URM"
"1009",27.6751805,85.3597905,3,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",55,"Non-retrofitted URM"
"1010",27.6757007,85.3595443,1,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",5,"Non-retrofitted URM"
"1011",27.6751505,85.3590704,4,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",5,"Non-retrofitted URM"
"1012",27.676929,85.3612865,1,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",80,"Non-retrofitted URM"
"1013",27.6960485,85.3381741,2,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",1,"Non-retrofitted URM"
"1014",27.6960867,85.338115,1,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",12,"Non-retrofitted URM"
"1015",27.6961694,85.3381498,2,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",10,"Non-retrofitted URM"
"1016",27.694995,85.3356697,2,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",44,"Non-retrofitted URM"
"1017",27.6950702,85.3355372,2,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",49,"Non-retrofitted URM"
"1018",27.6949684,85.3357697,2,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",55,"Non-retrofitted URM"
"1019",27.6950781,85.3365293,2,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",53,"Non-retrofitted URM"
"1020",27.6950054,85.3355853,3,"No","Mud_Brick_in_Surkhi",5,"Non-retrofitted URM"
"1021",27.6951724,85.3320198,1,"No","Mixed",100,"Non-retrofitted URM"
"1022",27.692226,85.3367222,1,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",50,"Non-retrofitted URM"
"1023",27.7211861,85.3087981,1,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",100,"Non-retrofitted URM"
"1024",27.7211434,85.3089439,2,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",250,"Non-retrofitted URM"
"1025",27.7218753,85.3094022,1,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",25,"Non-retrofitted URM"
"1026",27.7217713,85.3092215,5,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",4,"Non-retrofitted URM"
"1027",27.7217101,85.3089038,3,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",64,"Non-retrofitted URM"
"1028",27.7219341,85.3089065,3,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",75,"Non-retrofitted URM"
"1029",27.7218484,85.3095649,2,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",20,"Non-retrofitted URM"
"1030",27.7256342,85.3137167,1,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",20,"Non-retrofitted URM"
"1031",27.7184171,85.3101157,3,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",153,"Non-retrofitted URM"
"1032",27.7218113,85.3087049,1,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",124,"Non-retrofitted URM"
"1033",27.7254594,85.3135804,1,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",38,"Non-retrofitted URM"
"1034",27.7204358,85.3102958,1,"No","Mixed",40,"Non-retrofitted URM"
"1035",27.7218878,85.3087052,1,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",135,"Non-retrofitted URM"
"1036",27.7240367,85.3085732,1,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",150,"Non-retrofitted URM"
"1037",27.7152631,85.3711056,1,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",60,"Non-retrofitted URM"
"1038",27.7159687,85.3695503,1,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",5,"Non-retrofitted URM"
"1039",27.7163697,85.3728255,1,"No","Mixed",100,"Non-retrofitted URM"
"1040",27.7157122,85.3698424,2,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",100,"Non-retrofitted URM"
"1041",27.7165588,85.3726852,1,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",160,"Non-retrofitted URM"
"1042",27.7158362,85.3698366,3,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",55,"Non-retrofitted URM"
"1043",27.7163891,85.3726227,1,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",140,"Non-retrofitted URM"
"1044",27.7176641,85.3698073,3,"No","Mixed",350,"Non-retrofitted URM"
"1045",27.717567,85.3703032,3,"No","Mixed",300,"Non-retrofitted URM"
"1046",27.7150857,85.3715966,1,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",183,"Non-retrofitted URM"
"1047",27.7193835,85.3665086,2,"No","Load_Bearing_Brick_Wall_in_Mud_Mortar",2,"Non-retrofitted URM"
"1048",27.7192951,85.3664506,2,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",2,"Non-retrofitted URM"
"1049",27.7205157,85.3667596,1,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",22,"Non-retrofitted URM"
"1050",27.7204443,85.3699517,1,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",50,"Non-retrofitted URM"
"1051",27.7199333,85.366609,2,"No","Load_Bearing_Brick_Wall_in_Mud_Mortar",35,"Non-retrofitted URM"
"1052",27.7205225,85.3699678,1,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",50,"Non-retrofitted URM"
"1053",27.7198353,85.3657926,1,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",350,"Non-retrofitted URM"
"1054",27.7153147,85.3666816,2,"No","Mixed",71,"Non-retrofitted URM"
"1055",27.7147572,85.3675671,1,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",95,"Non-retrofitted URM"
"1056",27.7139818,85.3682544,4,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",40,"Non-retrofitted URM"
"1057",27.7150026,85.3663714,1,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",175,"Non-retrofitted URM"
"1058",27.7141207,85.3683774,2,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",70,"Non-retrofitted URM"
"1059",27.6748526,85.3805082,3,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",8,"Non-retrofitted URM"
"1060",27.6778461,85.3596659,1,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",128,"Non-retrofitted URM"
"1061",27.7230211,85.3107514,4,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",101,"Non-retrofitted URM"
"1062",27.722975,85.310853,1,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",87,"Non-retrofitted URM"
"1063",27.7230858,85.3105076,1,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",23,"Non-retrofitted URM"
"1064",27.7228798,85.3107195,1,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",51,"Non-retrofitted URM"
"1065",27.7097893,85.3015078,2,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",34,"Non-retrofitted URM"
"1066",27.7097472,85.3011102,3,"No","Load_Bearing_Brick_Wall_in_Mud_Mortar",150,"Non-retrofitted URM"
"1067",27.6670338,85.4160991,3,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",225,"Non-retrofitted URM"
"1068",27.6742539,85.4038981,4,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",230,"Non-retrofitted URM"
"1069",27.6746444,85.4085258,1,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",170,"Non-retrofitted URM"
"1070",27.6741129,85.4093739,1,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",40,"Non-retrofitted URM"
"1071",27.6747452,85.4086002,1,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",30,"Non-retrofitted URM"
"1072",27.7746457,85.363297,2,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",41,"Non-retrofitted URM"
"1073",27.768116,85.3648778,2,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",200,"Non-retrofitted URM"
"1074",27.7679453,85.3648459,2,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",60,"Non-retrofitted URM"
"1075",27.7681134,85.3645724,1,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",140,"Non-retrofitted URM"
"1076",27.7682768,85.365061,1,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",30,"Non-retrofitted URM"
"1077",27.7681111,85.3649819,1,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",120,"Non-retrofitted URM"
"1078",27.7676765,85.3552363,2,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",540,"Non-retrofitted URM"
"1079",27.6752229,85.3406851,1,"No","Mixed",40,"Non-retrofitted URM"
"1080",27.6745447,85.3410837,1,"No","Mixed",50,"Non-retrofitted URM"
"1081",27.6750882,85.3406775,1,"No","Mixed",30,"Non-retrofitted URM"
"1082",27.6750205,85.3411427,1,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",36,"Non-retrofitted URM"
"1083",27.6733346,85.3437621,1,"No","Mixed",40,"Non-retrofitted URM"
"1084",27.6731794,85.3436109,1,"Yes","Mixed",40,"Non-retrofitted URM"
"1085",27.673344,85.3435923,1,"No","Mixed",160,"Non-retrofitted URM"
"1086",27.6734127,85.3438348,1,"No","Mixed",40,"Non-retrofitted URM"
"1087",27.6732543,85.3436872,1,"No","Mixed",40,"Non-retrofitted URM"
"1088",27.7151708,85.282893,5,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",390,"Non-retrofitted URM"
"1089",27.721898,85.3523157,1,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",30,"Non-retrofitted URM"
"1090",27.7220334,85.3523347,1,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",150,"Non-retrofitted URM"
"1091",27.7228088,85.3526734,2,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",70,"Non-retrofitted URM"
"1092",27.7219747,85.3525176,1,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",2,"Non-retrofitted URM"
"1093",27.7255459,85.3574716,1,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",120,"Non-retrofitted URM"
"1094",27.7253079,85.35716,1,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",120,"Non-retrofitted URM"
"1095",27.7255762,85.3579982,1,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",150,"Non-retrofitted URM"
"1096",27.7256341,85.3573919,1,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",90,"Non-retrofitted URM"
"1097",27.7233192,85.3555493,1,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",35,"Non-retrofitted URM"
"1098",27.7234526,85.3553972,1,"No","Mixed",100,"Non-retrofitted URM"
"1099",27.7298524,85.3628969,1,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",75,"Non-retrofitted URM"
"1100",27.7302076,85.3629504,1,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",75,"Non-retrofitted URM"
"1101",27.7305103,85.3629996,1,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",75,"Non-retrofitted URM"
"1102",27.6092671,85.3559197,3,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",40,"Non-retrofitted URM"
"1103",27.6032992,85.3657282,3,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",137,"Non-retrofitted URM"
"1104",27.60923,85.3561802,2,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",240,"Non-retrofitted URM"
"1105",27.6090092,85.3557903,1,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",35,"Non-retrofitted URM"
"1106",27.6090529,85.3556293,2,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",180,"Non-retrofitted URM"
"1107",27.6928136,85.3360439,3,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",5,"Non-retrofitted URM"
