@id,building_usage,age,bays_x,bays_y,building_condition,floor_material,floor_material_others,num_floors,neighbour_attachement,overhang,owner_rent,retrofit,roof_material,roof_material_others,roof_slope,roof_slope_others,shape_elevation,shape_plan,soft_storey,structur_type,structure_others,column_size,earthquake_resistant_element,occupants_day,occupants_evening,occupants_morning,occupants_night,facility_number,operator_name,Lat,Lon
221594917,school,1960-1990,4,1,Poor,RCC/RBC,,2,Two_Sides_Different_Height,No,Rent,No,CGI,,Flat,,Regular,Rectangular,No,Load_Bearing_Brick_Wall_in_Mud_Mortar,,,No,190,0,0,1,1,Balambu Madhyamik Vidyalaya,85.246269,27.6920839
221594918,school,1960-1990,5,1,Poor,RCC/RBC,,3,One_Side_Different_Height,No,Self,No,RCC/RBC,,Flat,,Regular,Narrow_and_Long,No,Load_Bearing_Brick_Wall_in_Cement_Mortar,,,No,335,0,0,0,2,Balambu Madhyamik Vidyalaya,85.2459887,27.6921478
221594919,school,After_2000,5,2,Good,RCC/RBC,,3,Free_Standing,No,Self,No,RCC/RBC,,Flat,,Regular,Rectangular,No,Non_Engineered_RC_Frame,,9x9,No,100,0,0,0,6,Balambu Madhyamik Vidyalaya,85.247063,27.6922549
221594920,school,After_2000,3,1,Average,N/A,,1,Free_Standing,No,Rent,No,CGI,,Flat,,Regular,Rectangular,No,Mixed,load bearing block wall in cement mortar,,No,,,,1,4,Jesse's International English Boarding School,85.2524337,27.6841353
221594921,school,1960-1990,2,2,Poor,RCC/RBC,,3,One_Side_Different_Height,No,Self,No,RCC/RBC,,Flat,,Regular,Rectangular,Yes,Load_Bearing_Brick_Wall_in_Mud_Mortar,,,No,35,0,0,0,3,Balambu Madhyamik Vidyalaya,85.2464661,27.692105
221594922,school,1990-2000,3,2,Average,RCC/RBC,,5,One_Side_Different_Height,No,Rent,No,RCC/RBC,,Flat,,Setback,Rectangular,No,Load_Bearing_Brick_Wall_in_Cement_Mortar,,,No,500,0,0,0,2,Ambrosia Ideal Secondary School,85.2575233,27.6861618
221594923,school,After_2000,3,3,Average,RCC/RBC,,2,Free_Standing,No,Rent,No,RCC/RBC,,Flat,,Regular,Rectangular,No,Non_Engineered_RC_Frame,,9x9,No,100,0,0,4,2,Jesse's International English Boarding School,85.2522215,27.6840999
221594924,school,1960-1990,3,2,Average,RCC/RBC,,3,Free_Standing,No,Rent,No,RCC/RBC,,Flat,,Regular,Rectangular,No,Load_Bearing_Brick_Wall_in_Cement_Mortar,,,No,300,0,0,12,1,Ambrosia Ideal Secondary School,85.2574609,27.686223
221594925,school,1990-2000,2,2,Average,RCC/RBC,,1,Free_Standing,No,Rent,No,RCC/RBC,,Flat,,Regular,T-Shaped,No,Load_Bearing_Brick_Wall_in_Cement_Mortar,,,No,300,0,0,0,3,Jesse's International English Boarding School,85.25232,27.6840388
221594926,school,1960-1990,1,1,Poor,RCC/RBC,,4,Free_Standing,No,Rent,No,RCC/RBC,,Flat,,Regular,L-Shaped,No,Load_Bearing_Brick_Wall_in_Cement_Mortar,,,No,300,0,0,0,1,Jesse's International English Boarding School,85.2520883,27.6842728
221594930,school,After_2000,3,1,Average,RCC/RBC,,1,One_Side_Different_Height,No,Rent,No,CGI,,Flat,,Regular,Rectangular,No,Concrete_Block_in_Cement_Mortar,,,No,100,0,0,0,2,Little Stars Academy,85.2490261,27.6874405
221594932,school,After_2000,1,1,Average,N/A,,1,Free_Standing,No,Rent,No,CGI,,Flat,,Regular,Rectangular,No,Mixed,load bearing block wall in cement mortar,,No,20,0,0,0,4,Rikast Intensive Academy,85.2431954,27.6871827
221594934,school,After_2000,4,1,Poor,N/A,,1,One_Side_Different_Height,No,Rent,No,CGI,,Flat,,Regular,Rectangular,No,Mixed,load bearing block wall in cement mortar,,No,40,0,0,0,2,Rikast Intensive Academy,85.2430076,27.6871675
221594936,school,After_2000,5,1,Poor,N/A,,1,Free_Standing,No,Rent,No,CGI,,Flat,,Regular,Rectangular,No,Load_Bearing_Brick_Wall_in_Mud_Mortar,,,No,60,0,0,0,3,Rikast Intensive Academy,85.2431257,27.6870614
221594938,school,After_2000,1,1,Poor,N/A,,1,One_Side_Different_Height,No,Rent,No,CGI,,Flat,,Regular,Rectangular,No,Load_Bearing_Brick_Wall_in_Mud_Mortar,,,No,0,0,0,0,1,Rikast Intensive Academy,85.24313,27.6873486
221594941,school,After_2000,2,1,Average,N/A,,1,Free_Standing,No,Rent,No,CGI,,Flat,,Regular,Rectangular,No,Load_Bearing_Brick_Wall_in_Cement_Mortar,,,No,50,0,0,0,3,Little Stars Academy,85.2490113,27.6872247
221594942,school,1960-1990,1,1,Average,RCC/RBC,,3,One_Side_Different_Height,No,Self,No,CGI,,Flat,,Regular,L-Shaped,No,Load_Bearing_Brick_Wall_in_Mud_Mortar,,,No,250,0,0,1,1,Bishnu Devi Sikshya Sadan,85.2504446,27.6847819
221594943,school,1990-2000,1,1,Average,RCC/RBC,,4,One_Side_Different_Height,No,Rent,No,RCC/RBC,,Flat,,Regular,L-Shaped,No,Load_Bearing_Brick_Wall_in_Mud_Mortar,,,No,200,0,0,1,1,Little Stars Academy,85.2491424,27.687407
221594944,school,1960-1990,1,1,Average,RCC/RBC,,2,Free_Standing,No,Self,No,CGI,,Flat,,Regular,L-Shaped,No,Load_Bearing_Brick_Wall_in_Cement_Mortar,,,No,159,0,0,0,1,bhairavnath ni.ma.v,85.2476241,27.6771664
221596715,school,1990-2000,3,1,Average,RCC/RBC,,4,Free_Standing,No,Self,Yes,CGI,,Flat,,Regular,Rectangular,Yes,Load_Bearing_Brick_Wall_in_Cement_Mortar,,,Yes,,,,,2,Mangal Ma.V.,85.2643047,27.6873277
221596717,school,1990-2000,4,1,Average,RCC/RBC,,3,Free_Standing,No,Self,No,RCC/RBC,,Flat,,Regular,Rectangular,No,Non_Engineered_RC_Frame,,9x9,No,150,0,0,0,1,Mangal Ma.V.,85.2641199,27.6872853
221596719,school,1990-2000,3,1,Poor,RCC/RBC,,2,Free_Standing,No,Self,No,RCC/RBC,,Flat,,Setback,L-Shaped,No,Load_Bearing_Brick_Wall_in_Cement_Mortar,,,No,200,0,0,0,3,Mangal Ma.V.,85.2646081,27.6903121
221602062,school,Before_1960,2,1,Poor,Wood,,2,Free_Standing,No,Self,No,CGI,,Flat,,Regular,Rectangular,No,Load_Bearing_Brick_Wall_in_Mud_Mortar,,,No,35,,,,4,Nil Barahi Higher Secondary School,85.3017451,27.7003745
221602063,school,After_2000,3,1,Average,N/A,,1,One_Side_Same_Height,No,Rent,No,CGI,,Flat,,Regular,Rectangular,No,Load_Bearing_Brick_Wall_in_Cement_Mortar,,,No,30,0,0,0,5,New Florence International Boarding School,85.3016639,27.7011258
221602064,school,1990-2000,3,1,Average,RCC/RBC,,5,One_Side_Different_Height,No,Self,No,CGI,,Flat,,Regular,Narrow_and_Long,No,Non_Engineered_RC_Frame,,9x12,No,310,0,70,0,1,Nil Barahi Higher Secondary School,85.3018127,27.7004326
221602065,school,Before_1960,2,1,Poor,Wood,,2,Free_Standing,No,Self,No,CGI,,Flat,,Regular,Rectangular,No,Load_Bearing_Brick_Wall_in_Mud_Mortar,,,No,30,,,,5,Nil Barahi Higher Secondary School,85.3016914,27.7002622
221602066,school,After_2000,2,1,Poor,N/A,,1,One_Side_Same_Height,No,Self,No,CGI,,Flat,,Regular,Rectangular,No,Load_Bearing_Brick_Wall_in_Cement_Mortar,,,No,20,,,,4,New Florence International Boarding School,85.3015982,27.7011462
221602067,school,1990-2000,2,2,Average,RCC/RBC,,6,One_Side_Different_Height,Yes,Rent,No,RCC/RBC,,Flat,,Setback,L-Shaped,No,Non_Engineered_RC_Frame,,9x9,No,250,,,,1,New Florence International Boarding School,85.3014921,27.7009622
221602068,school,1990-2000,2,1,Average,RCC/RBC,,3,Free_Standing,No,Self,No,CGI,,Flat,,Regular,Rectangular,No,Non_Engineered_RC_Frame,,9x9,No,105,,,,3,Nil Barahi Higher Secondary School,85.3016256,27.7006039
221602069,school,Before_1960,1,1,Poor,N/A,,1,Free_Standing,No,Self,No,RCC/RBC,,Flat,,Regular,Rectangular,No,Load_Bearing_Brick_Wall_in_Mud_Mortar,,,No,1,,,,6,Nil Barahi Higher Secondary School,85.3016399,27.7003496
221602070,school,After_2000,2,1,Poor,N/A,,1,One_Side_Different_Height,No,Self,No,CGI,,Flat,,Regular,Rectangular,No,Load_Bearing_Brick_Wall_in_Cement_Mortar,,,No,25,0,0,0,3,New Florence International Boarding School,85.3014661,27.7010521
221602071,school,After_2000,3,1,Average,N/A,,1,One_Side_Different_Height,No,Rent,No,CGI,,Flat,,Regular,Rectangular,No,Load_Bearing_Brick_Wall_in_Cement_Mortar,,,No,30,0,0,0,6,New Florence International Boarding School,85.301629,27.7009452
221602072,school,After_2000,3,1,Average,RCC/RBC,,4,One_Side_Different_Height,No,Self,No,CGI,,Flat,,Regular,Narrow_and_Long,No,Non_Engineered_RC_Frame,,9x9,No,310,,70,,2,Nil Barahi Higher Secondary School,85.3017644,27.700532
221602073,school,1990-2000,4,3,Average,RCC/RBC,,4,One_Side_Different_Height,Yes,Rent,No,RCC/RBC,,Flat,,Setback,Rectangular,No,Non_Engineered_RC_Frame,,9x9,No,125,,,,2,New Florence International Boarding School,85.3013845,27.700954
221602074,school,1990-2000,1,1,Poor,Wood,,1,Free_Standing,No,Rent,No,CGI,,Flat,,Regular,L-Shaped,No,Load_Bearing_Brick_Wall_in_Cement_Mortar,,,No,115,,,,1,Dewy Dawn Academy,85.3009847,27.700248
221603170,school,1960-1990,7,1,Poor,RCC/RBC,,4,Free_Standing,Yes,Self,No,RCC/RBC,,Flat,,Regular,Rectangular,No,Non_Engineered_RC_Frame,,9x9,No,240,0,0,4,,,85.244262,27.6889114
221603173,school,After_2000,4,1,Poor,RCC/RBC,,1,Free_Standing,No,Rent,No,CGI,,Flat,,Regular,Rectangular,No,Load_Bearing_Brick_Wall_in_Cement_Mortar,,,No,50,0,0,0,1,New Diamond Academy,85.2677651,27.6945034
221603174,school,After_2000,5,1,Average,RCC/RBC,,2,Free_Standing,No,Rent,No,RCC/RBC,,Flat,,Regular,Rectangular,No,Load_Bearing_Brick_Wall_in_Cement_Mortar,,,No,140,0,0,0,2,Basic Learning English Secondary School,85.246621,27.6764528
221603176,school,After_2000,4,1,Average,RCC/RBC,,2,Free_Standing,No,Self,No,CGI,,Flat,,Regular,Rectangular,No,Load_Bearing_Brick_Wall_in_Cement_Mortar,,,No,50,0,0,0,4,New Diamond Academy,85.2675367,27.6952191
221603178,school,After_2000,4,1,Poor,N/A,,1,Free_Standing,No,Rent,No,CGI,,Flat,,Regular,Rectangular,No,Concrete_Block_in_Cement_Mortar,,,No,90,0,0,0,2,New Diamond Academy,85.2678556,27.6947879
