#,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.12.0', start_date='2022-03-18T04:41:53', checksum=3502110342, kind='mean', investigation_time=1.0, imt='PGA'"
lon,lat,depth,poe-0.0050000,poe-0.0070000,poe-0.0098000,poe-0.0137000,poe-0.0192000,poe-0.0269000,poe-0.0376000,poe-0.0527000,poe-0.0738000,poe-0.1030000,poe-0.1450000,poe-0.2030000,poe-0.2840000,poe-0.3970000,poe-0.5560000,poe-0.7780000,poe-1.0900000,poe-1.5200000,poe-2.1300000
85.34865,27.73692,0.00000,1.391663E-01,1.217382E-01,1.033331E-01,8.664400E-02,6.871032E-02,5.218901E-02,3.682712E-02,2.441296E-02,1.515419E-02,1.064288E-02,6.068357E-03,3.666299E-03,1.769938E-03,1.201029E-03,5.689085E-04,1.896362E-04,0.000000E+00,0.000000E+00,0.000000E+00
85.34600,27.73469,0.00000,1.393386E-01,1.229194E-01,1.041676E-01,8.594270E-02,6.841556E-02,5.201767E-02,3.777035E-02,2.645244E-02,1.599265E-02,1.030357E-02,5.878721E-03,3.413451E-03,1.959574E-03,9.481809E-04,5.056965E-04,1.896362E-04,1.264241E-04,0.000000E+00,0.000000E+00
85.34141,27.74420,0.00000,1.370185E-01,1.201082E-01,1.013267E-01,8.155032E-02,6.285969E-02,4.898709E-02,3.480954E-02,2.303899E-02,1.521740E-02,9.292172E-03,5.815509E-03,3.160603E-03,1.769938E-03,6.953326E-04,3.160603E-04,2.528482E-04,6.321206E-05,0.000000E+00,0.000000E+00
85.35196,27.69489,0.00000,1.428818E-01,1.261474E-01,1.074111E-01,8.828355E-02,6.940074E-02,5.123587E-02,3.581078E-02,2.354469E-02,1.471171E-02,8.786476E-03,5.056965E-03,2.844542E-03,1.264241E-03,8.217567E-04,2.528482E-04,6.321206E-05,0.000000E+00,0.000000E+00,0.000000E+00
85.34871,27.67987,0.00000,1.452934E-01,1.284140E-01,1.092006E-01,9.206612E-02,7.173599E-02,5.451475E-02,3.915447E-02,2.740063E-02,1.681441E-02,1.042999E-02,6.005145E-03,2.907755E-03,1.390665E-03,6.321206E-04,6.321206E-05,6.321206E-05,0.000000E+00,0.000000E+00,0.000000E+00
85.34839,27.67992,0.00000,1.429483E-01,1.267337E-01,1.100769E-01,9.132268E-02,7.292887E-02,5.553270E-02,3.804031E-02,2.517150E-02,1.639518E-02,9.481808E-03,5.752297E-03,2.654906E-03,1.137817E-03,3.160603E-04,1.264241E-04,1.264241E-04,6.321206E-05,0.000000E+00,0.000000E+00
85.28203,27.66860,0.00000,1.279761E-01,1.099865E-01,9.091520E-02,7.387664E-02,5.697442E-02,4.147501E-02,2.842712E-02,1.863740E-02,1.093569E-02,6.447630E-03,3.919147E-03,1.769938E-03,8.217567E-04,3.160603E-04,1.896362E-04,1.264241E-04,6.321206E-05,0.000000E+00,0.000000E+00
85.34721,27.68151,0.00000,1.453858E-01,1.288121E-01,1.089792E-01,8.992842E-02,7.087563E-02,5.262990E-02,3.758768E-02,2.536969E-02,1.572310E-02,8.643349E-03,5.017007E-03,2.212422E-03,1.264241E-03,5.689085E-04,2.528482E-04,6.321206E-05,0.000000E+00,0.000000E+00,0.000000E+00
85.34231,27.67441,0.00000,1.470145E-01,1.296339E-01,1.105165E-01,9.259107E-02,7.358839E-02,5.639896E-02,4.091425E-02,2.733741E-02,1.629201E-02,9.821123E-03,5.649128E-03,2.591694E-03,1.327453E-03,5.056965E-04,1.896362E-04,6.321206E-05,0.000000E+00,0.000000E+00,0.000000E+00
85.34234,27.67425,0.00000,1.454286E-01,1.282442E-01,1.099637E-01,9.173336E-02,7.297538E-02,5.610161E-02,3.958680E-02,2.677506E-02,1.711376E-02,1.017714E-02,5.625873E-03,3.160603E-03,1.453877E-03,4.424844E-04,6.321206E-05,6.321206E-05,0.000000E+00,0.000000E+00,0.000000E+00
