#,,,,"generated_by='OpenQuake engine 3.12.0', start_date='2022-03-17T15:54:38', checksum=3502110342"
event_id,rup_id,rlz_id,year,ses_id
0,0,5232,1,1
1,1,3291,1,1
2,2,2540,1,1
3,3,5268,1,1
4,4,695,1,1
5,4,4019,1,1
6,5,5199,1,1
7,6,1754,1,1
8,7,2204,1,1
9,8,5377,1,1
10,9,2526,1,1
11,10,3529,1,1
12,11,5807,1,1
13,12,4210,1,1
14,13,25,1,1
15,14,4091,1,1
16,15,2882,1,1
17,16,1361,1,1
18,17,7159,1,1
19,18,8702,1,1
20,19,4880,1,1
21,20,8772,1,1
22,21,1217,1,1
23,22,330,1,1
24,22,1239,1,1
25,22,3146,1,1
26,23,2522,1,1
27,24,1011,1,1
28,25,2476,1,1
29,26,2539,1,1
30,27,8558,1,1
31,28,495,1,1
32,29,5423,1,1
33,30,7082,1,1
34,31,6590,1,1
35,32,9452,1,1
36,33,9809,1,1
37,34,3291,1,1
38,35,5735,1,1
39,36,7969,1,1
40,37,5899,1,1
41,38,8429,1,1
42,39,4220,1,1
43,40,4838,1,1
44,41,775,1,1
45,42,3603,1,1
46,43,399,1,1
47,44,5796,1,1
48,45,7784,1,1
49,46,7440,1,1
50,47,996,1,1
51,48,3040,1,1
52,49,1911,1,1
53,50,7629,1,1
54,51,5965,1,1
55,52,6148,1,1
56,53,5632,1,1
57,54,2818,1,1
58,55,896,1,1
59,56,4007,1,1
60,57,9286,1,1
61,58,2496,1,1
62,59,6942,1,1
63,60,8622,1,1
64,61,511,1,1
65,62,230,1,1
66,63,6343,1,1
67,64,8388,1,1
68,65,7149,1,1
69,66,8401,1,1
70,67,4282,1,1
71,68,2663,1,1
72,69,2005,1,1
73,70,2433,1,1
74,71,224,1,1
75,72,1249,1,1
76,73,9092,1,1
77,74,5969,1,1
78,74,9526,1,1
79,75,5608,1,1
80,76,507,1,1
81,77,5968,1,1
82,78,7582,1,1
83,79,8761,1,1
84,80,813,1,1
85,81,6225,1,1
86,82,9456,1,1
87,83,9403,1,1
88,84,4766,1,1
89,85,3595,1,1
90,86,1138,1,1
91,87,5415,1,1
92,88,7521,1,1
93,89,5920,1,1
94,90,1482,1,1
95,91,1948,1,1
96,92,5837,1,1
97,93,8192,1,1
98,94,358,1,1
99,95,2123,1,1
100,96,2333,1,1
101,97,6499,1,1
102,98,588,1,1
103,99,758,1,1
104,100,8349,1,1
105,101,5579,1,1
106,102,9059,1,1
107,103,8767,1,1
108,103,9416,1,1
109,104,5881,1,1
110,105,3761,1,1
111,106,527,1,1
112,107,7208,1,1
113,108,3809,1,1
114,109,2345,1,1
115,110,7773,1,1
116,111,2487,1,1
117,112,2789,1,1
118,113,1417,1,1
119,114,3124,1,1
120,115,9759,1,1
121,116,2659,1,1
122,117,1470,1,1
123,118,584,1,1
124,118,4280,1,1
125,119,400,1,1
126,120,1034,1,1
127,121,3249,1,1
128,122,6273,1,1
129,123,5970,1,1
130,124,662,1,1
131,124,7012,1,1
132,125,3497,1,1
133,126,9865,1,1
134,127,4438,1,1
135,128,8772,1,1
136,129,389,1,1
137,130,1026,1,1
138,131,1388,1,1
139,132,1637,1,1
140,133,4821,1,1
141,134,8143,1,1
142,135,544,1,1
143,136,8216,1,1
144,137,2875,1,1
145,138,8627,1,1
146,139,331,1,1
147,140,9,1,1
148,141,4035,1,1
149,142,6451,1,1
150,143,6706,1,1
151,144,9431,1,1
152,145,5560,1,1
153,146,2819,1,1
154,147,7957,1,1
155,148,735,1,1
156,149,7311,1,1
157,150,1562,1,1
158,151,9527,1,1
159,152,8978,1,1
160,153,14,1,1
161,154,184,1,1
162,155,6798,1,1
163,156,1274,1,1
164,157,1158,1,1
165,158,6443,1,1
166,159,9328,1,1
167,160,6392,1,1
168,161,9235,1,1
169,162,7536,1,1
170,163,2705,1,1
171,164,2019,1,1
172,165,463,1,1
173,166,1053,1,1
174,167,6406,1,1
175,168,4776,1,1
176,169,925,1,1
177,170,4893,1,1
178,171,5585,1,1
179,172,2822,1,1
180,173,4596,1,1
181,174,4398,1,1
182,175,408,1,1
183,176,3709,1,1
184,177,9967,1,1
185,178,730,1,1
186,179,3817,1,1
187,180,5326,1,1
188,181,6672,1,1
189,182,7189,1,1
190,183,4338,1,1
191,184,9643,1,1
192,185,6594,1,1
193,186,1564,1,1
194,187,8622,1,1
195,188,1907,1,1
196,189,3018,1,1
197,190,5472,1,1
198,191,4555,1,1
199,192,6093,1,1
200,193,5419,1,1
201,194,5646,1,1
202,195,6464,1,1
203,196,8296,1,1
204,197,3034,1,1
205,198,5242,1,1
206,199,573,1,1
207,200,5601,1,1
208,201,7085,1,1
209,202,6792,1,1
210,203,3766,1,1
211,204,7101,1,1
212,205,5343,1,1
213,206,8816,1,1
214,207,2039,1,1
215,208,8500,1,1
216,209,3777,1,1
217,210,4443,1,1
218,211,7653,1,1
219,212,5184,1,1
220,213,9817,1,1
221,214,4816,1,1
222,215,3408,1,1
223,216,1520,1,1
224,217,4353,1,1
225,218,1495,1,1
226,219,3161,1,1
227,220,2309,1,1
228,221,6068,1,1
229,222,2699,1,1
230,223,9699,1,1
231,224,2717,1,1
232,225,432,1,1
233,226,8328,1,1
234,227,9967,1,1
235,228,5622,1,1
236,229,9723,1,1
237,230,2857,1,1
238,231,1964,1,1
239,232,4126,1,1
240,232,5516,1,1
241,233,1149,1,1
242,234,5030,1,1
243,235,6287,1,1
244,236,7794,1,1
245,237,4899,1,1
246,238,9049,1,1
247,239,793,1,1
248,239,7170,1,1
249,240,4152,1,1
250,241,8251,1,1
251,242,2013,1,1
252,243,6596,1,1
253,244,3054,1,1
254,245,5569,1,1
255,246,1116,1,1
256,247,8702,1,1
257,248,1181,1,1
258,249,3279,1,1
259,250,1680,1,1
260,251,8637,1,1
261,252,8332,1,1
262,253,360,1,1
263,254,4138,1,1
264,255,3410,1,1
265,256,7942,1,1
266,257,9004,1,1
267,258,5015,1,1
268,259,8984,1,1
269,260,1446,1,1
270,260,1966,1,1
271,260,9032,1,1
272,261,2013,1,1
273,262,8621,1,1
274,263,375,1,1
275,264,9182,1,1
276,265,1829,1,1
277,266,7002,1,1
278,267,1016,1,1
279,268,8449,1,1
280,269,600,1,1
281,270,8397,1,1
282,271,4412,1,1
283,272,5644,1,1
284,273,8686,1,1
285,274,4044,1,1
286,275,5130,1,1
287,276,3691,1,1
288,277,3552,1,1
289,278,6793,1,1
290,279,7195,1,1
291,280,8076,1,1
292,281,8743,1,1
293,282,1347,1,1
294,283,3932,1,1
295,284,1854,1,1
296,285,1893,1,1
297,286,4398,1,1
298,287,1555,1,1
299,288,4705,1,1
300,289,2689,1,1
301,290,6128,1,1
302,291,4383,1,1
303,292,3801,1,1
304,293,9533,1,1
305,294,8504,1,1
306,295,7199,1,1
307,295,8919,1,1
308,296,2059,1,1
309,297,7486,1,1
310,298,9591,1,1
311,299,507,1,1
312,300,2135,1,1
313,301,8190,1,1
314,302,5796,1,1
315,303,9247,1,1
316,304,9554,1,1
317,305,8345,1,1
318,306,1211,1,1
319,307,6623,1,1
320,307,8121,1,1
321,308,6813,1,1
322,309,5328,1,1
323,310,7569,1,1
324,311,1606,1,1
325,312,5665,1,1
326,313,9264,1,1
327,314,6892,1,1
328,315,4379,1,1
329,316,7816,1,1
330,316,9901,1,1
331,317,8063,1,1
332,318,7226,1,1
333,319,4933,1,1
334,320,3076,1,1
335,321,3270,1,1
336,322,6479,1,1
337,323,9530,1,1
338,324,6624,1,1
339,325,5366,1,1
340,326,678,1,1
341,327,5882,1,1
342,328,7330,1,1
343,329,192,1,1
344,330,264,1,1
345,331,1273,1,1
346,332,2558,1,1
347,332,4076,1,1
348,333,4150,1,1
349,334,8228,1,1
350,335,8962,1,1
351,336,40,1,1
352,337,6031,1,1
353,338,8253,1,1
354,339,3221,1,1
355,340,7782,1,1
356,341,4160,1,1
357,342,7121,1,1
358,343,8496,1,1
359,344,1361,1,1
360,345,6519,1,1
361,345,8162,1,1
362,346,5759,1,1
363,347,4003,1,1
364,348,7285,1,1
365,349,8034,1,1
366,350,179,1,1
367,351,6372,1,1
368,352,780,1,1
369,353,9778,1,1
370,354,7957,1,1
371,355,6673,1,1
372,356,699,1,1
373,357,5609,1,1
374,358,8430,1,1
375,359,8464,1,1
376,360,9630,1,1
377,361,3571,1,1
378,362,8119,1,1
379,363,9315,1,1
380,364,3488,1,1
381,365,881,1,1
382,366,4810,1,1
383,367,7204,1,1
384,368,5804,1,1
385,369,4130,1,1
386,370,5107,1,1
387,371,9311,1,1
388,372,7838,1,1
389,373,6935,1,1
390,374,7776,1,1
391,375,4613,1,1
392,376,7327,1,1
393,377,8597,1,1
394,378,9995,1,1
395,379,8503,1,1
396,380,6727,1,1
397,381,1516,1,1
398,382,3832,1,1
399,383,4583,1,1
400,383,7860,1,1
401,384,7521,1,1
402,385,3718,1,1
403,386,3844,1,1
404,387,8611,1,1
405,388,8273,1,1
406,389,2439,1,1
407,389,8035,1,1
408,390,5366,1,1
