#,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.12.0', start_date='2022-03-17T15:54:38', checksum=3502110342, kind='mean', investigation_time=1.0, imt='PGA'"
lon,lat,depth,poe-0.0050000,poe-0.0070000,poe-0.0098000,poe-0.0137000,poe-0.0192000,poe-0.0269000,poe-0.0376000,poe-0.0527000,poe-0.0738000,poe-0.1030000,poe-0.1450000,poe-0.2030000,poe-0.2840000,poe-0.3970000,poe-0.5560000,poe-0.7780000,poe-1.0900000,poe-1.5200000,poe-2.1300000
85.34865,27.73692,0.00000,1.384715E-01,1.224031E-01,1.032329E-01,8.389052E-02,6.687722E-02,4.989012E-02,3.681042E-02,2.560383E-02,1.739642E-02,1.005072E-02,5.183388E-03,2.402058E-03,1.137817E-03,3.792723E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
85.34600,27.73469,0.00000,1.399464E-01,1.210002E-01,1.026912E-01,8.451073E-02,6.669933E-02,5.132435E-02,3.681402E-02,2.516335E-02,1.578631E-02,9.608232E-03,5.309813E-03,2.338846E-03,1.137817E-03,6.321206E-04,1.264241E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
85.34141,27.74420,0.00000,1.345787E-01,1.165102E-01,9.825866E-02,8.081302E-02,6.412434E-02,4.916203E-02,3.489641E-02,2.262832E-02,1.454532E-02,9.212257E-03,5.120176E-03,2.338846E-03,1.137817E-03,7.585447E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
85.35196,27.69489,0.00000,1.394317E-01,1.228792E-01,1.044622E-01,8.831991E-02,6.857739E-02,5.170817E-02,3.733442E-02,2.553407E-02,1.515419E-02,9.441851E-03,4.677692E-03,2.528482E-03,9.481809E-04,3.160603E-04,6.321206E-05,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
85.34871,27.67987,0.00000,1.430808E-01,1.257434E-01,1.072365E-01,8.918162E-02,7.070175E-02,5.523830E-02,3.946893E-02,2.636438E-02,1.633852E-02,9.907589E-03,4.993753E-03,2.402058E-03,8.849688E-04,4.424844E-04,1.264241E-04,6.321206E-05,0.000000E+00,0.000000E+00,0.000000E+00
85.34839,27.67992,0.00000,1.412582E-01,1.241889E-01,1.076740E-01,8.922198E-02,6.917611E-02,5.443938E-02,3.767014E-02,2.520131E-02,1.593599E-02,9.861081E-03,4.930540E-03,2.528482E-03,1.137817E-03,2.528482E-04,6.321206E-05,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
85.28203,27.66860,0.00000,1.255339E-01,1.070166E-01,8.833661E-02,6.955992E-02,5.413147E-02,4.123686E-02,2.821878E-02,1.875728E-02,1.175744E-02,6.068357E-03,3.160603E-03,1.580301E-03,6.321206E-04,2.528482E-04,1.264241E-04,6.321206E-05,0.000000E+00,0.000000E+00,0.000000E+00
85.34721,27.68151,0.00000,1.432983E-01,1.266132E-01,1.082191E-01,8.898184E-02,6.957663E-02,5.433822E-02,3.857581E-02,2.590720E-02,1.649675E-02,1.049975E-02,6.194782E-03,2.591694E-03,1.264241E-03,3.160603E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
85.34231,27.67441,0.00000,1.424650E-01,1.257148E-01,1.073898E-01,8.988256E-02,7.137342E-02,5.295370E-02,3.814603E-02,2.466580E-02,1.694738E-02,9.292172E-03,4.804116E-03,2.465270E-03,1.011393E-03,6.321206E-05,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
85.34234,27.67425,0.00000,1.444166E-01,1.256581E-01,1.076689E-01,9.021427E-02,7.134857E-02,5.299607E-02,3.890297E-02,2.687008E-02,1.655141E-02,9.614783E-03,4.913837E-03,1.959574E-03,1.137817E-03,5.689085E-04,6.321206E-05,6.321206E-05,0.000000E+00,0.000000E+00,0.000000E+00
85.35781,27.78110,0.00000,1.173979E-01,9.836538E-02,7.960499E-02,6.350532E-02,4.903655E-02,3.517706E-02,2.580202E-02,1.751629E-02,1.099890E-02,5.752297E-03,3.539875E-03,1.643513E-03,8.217567E-04,1.264241E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
