#,,,,"generated_by='OpenQuake engine 3.12.0', start_date='2022-03-18T03:35:27', checksum=3502110342"
event_id,rup_id,rlz_id,year,ses_id
0,0,6298,1,1
1,1,2640,1,1
2,2,8051,1,1
3,3,6758,1,1
4,4,9205,1,1
5,5,6013,1,1
6,6,2567,1,1
7,7,8313,1,1
8,8,2457,1,1
9,9,4126,1,1
10,10,4429,1,1
11,11,7591,1,1
12,12,8866,1,1
13,13,9887,1,1
14,14,27,1,1
15,15,9549,1,1
16,16,4232,1,1
17,17,7877,1,1
18,18,7733,1,1
19,19,393,1,1
20,20,4291,1,1
21,21,2081,1,1
22,22,58,1,1
23,23,2141,1,1
24,24,6277,1,1
25,25,3440,1,1
26,26,8821,1,1
27,27,4068,1,1
28,28,3769,1,1
29,28,8450,1,1
30,29,4421,1,1
31,30,6275,1,1
32,31,1025,1,1
33,32,1466,1,1
34,33,3173,1,1
35,34,4458,1,1
36,35,7231,1,1
37,36,1933,1,1
38,37,8268,1,1
39,38,6391,1,1
40,39,3786,1,1
41,40,5245,1,1
42,41,7964,1,1
43,42,8282,1,1
44,43,6826,1,1
45,44,3682,1,1
46,45,3904,1,1
47,46,7227,1,1
48,47,3437,1,1
49,48,2629,1,1
50,49,3801,1,1
51,50,8631,1,1
52,51,9123,1,1
53,52,5795,1,1
54,53,8988,1,1
55,54,3842,1,1
56,55,767,1,1
57,56,743,1,1
58,57,2895,1,1
59,58,6005,1,1
60,59,4469,1,1
61,60,67,1,1
62,61,4031,1,1
63,62,3975,1,1
64,63,1383,1,1
65,64,4167,1,1
66,64,5913,1,1
67,65,485,1,1
68,66,559,1,1
69,67,6805,1,1
70,68,3201,1,1
71,69,8598,1,1
72,70,4577,1,1
73,71,647,1,1
74,72,3599,1,1
75,73,1704,1,1
76,74,2294,1,1
77,75,7118,1,1
78,76,937,1,1
79,77,1796,1,1
80,77,2874,1,1
81,78,3228,1,1
82,79,2858,1,1
83,80,2419,1,1
84,81,1374,1,1
85,82,4371,1,1
86,83,8881,1,1
87,84,1788,1,1
88,85,939,1,1
89,86,5063,1,1
90,87,4799,1,1
91,88,7261,1,1
92,89,120,1,1
93,90,5788,1,1
94,91,28,1,1
95,92,5466,1,1
96,93,8561,1,1
97,94,3629,1,1
98,95,2161,1,1
99,96,95,1,1
100,97,1076,1,1
101,97,8375,1,1
102,98,4375,1,1
103,99,3043,1,1
104,100,5510,1,1
105,101,3760,1,1
106,102,9790,1,1
107,103,4629,1,1
108,104,776,1,1
109,105,3398,1,1
110,106,6847,1,1
111,107,333,1,1
112,108,6616,1,1
113,109,1166,1,1
114,110,4321,1,1
115,111,5345,1,1
116,112,6442,1,1
117,113,3540,1,1
118,114,240,1,1
119,115,3791,1,1
120,116,5363,1,1
121,117,5891,1,1
122,118,483,1,1
123,119,6330,1,1
124,120,1358,1,1
125,121,295,1,1
126,122,8576,1,1
127,123,8290,1,1
128,124,2331,1,1
129,125,7571,1,1
130,126,2514,1,1
131,127,7906,1,1
132,128,734,1,1
133,129,2178,1,1
134,130,7162,1,1
135,131,2090,1,1
136,131,6976,1,1
137,131,8547,1,1
138,132,5830,1,1
139,133,8626,1,1
140,134,558,1,1
141,135,5905,1,1
142,136,7373,1,1
143,137,3547,1,1
144,138,2939,1,1
145,139,6588,1,1
146,140,7802,1,1
147,141,9904,1,1
148,142,1121,1,1
149,143,1358,1,1
150,144,3084,1,1
151,145,7591,1,1
152,146,2539,1,1
153,147,9543,1,1
154,148,4327,1,1
155,149,1171,1,1
156,150,9232,1,1
157,151,469,1,1
158,152,9532,1,1
159,153,6364,1,1
160,154,370,1,1
161,155,4022,1,1
162,156,8157,1,1
