#,,,,"generated_by='OpenQuake engine 3.12.0', start_date='2022-03-22T06:37:34', checksum=3502110342"
event_id,rup_id,rlz_id,year,ses_id
0,0,1067,1,1
1,1,5551,1,1
2,2,7631,1,1
3,3,7127,1,1
4,4,8441,1,1
5,5,566,1,1
6,6,1949,1,1
7,7,9006,1,1
8,8,6585,1,1
9,9,1352,1,1
10,10,8785,1,1
11,11,1494,1,1
12,12,4742,1,1
13,13,7514,1,1
14,14,8986,1,1
15,15,3419,1,1
16,16,3134,1,1
17,17,5567,1,1
18,18,6643,1,1
19,19,4999,1,1
20,20,1317,1,1
21,21,8471,1,1
22,22,1878,1,1
23,23,1920,1,1
24,24,6451,1,1
25,25,4723,1,1
26,26,7509,1,1
27,27,2912,1,1
28,28,1029,1,1
29,29,672,1,1
30,30,3177,1,1
31,31,5459,1,1
32,32,6107,1,1
33,33,6556,1,1
34,34,511,1,1
35,35,3537,1,1
36,36,7934,1,1
37,37,2859,1,1
38,38,326,1,1
39,39,8987,1,1
40,40,9284,1,1
41,41,9618,1,1
42,42,1710,1,1
43,43,4841,1,1
44,44,7247,1,1
45,45,4105,1,1
46,46,2345,1,1
47,47,9317,1,1
48,48,2123,1,1
49,49,532,1,1
50,50,4848,1,1
51,51,6872,1,1
52,52,8713,1,1
53,53,3001,1,1
54,54,4108,1,1
55,55,7957,1,1
56,56,9830,1,1
57,57,8953,1,1
58,58,1685,1,1
59,59,8029,1,1
60,60,8320,1,1
61,61,4127,1,1
62,62,4637,1,1
63,63,3601,1,1
64,64,81,1,1
65,65,8152,1,1
66,66,8237,1,1
67,67,6758,1,1
68,68,8220,1,1
69,69,5378,1,1
70,70,8125,1,1
71,71,1119,1,1
72,72,1016,1,1
73,73,1405,1,1
74,74,4346,1,1
75,75,482,1,1
76,76,8983,1,1
77,77,1064,1,1
78,78,9179,1,1
79,79,2543,1,1
80,80,9559,1,1
81,81,2876,1,1
82,82,6118,1,1
83,83,1241,1,1
84,84,7612,1,1
85,85,6447,1,1
86,86,3954,1,1
87,87,2528,1,1
88,87,4801,1,1
89,88,6657,1,1
90,88,9446,1,1
91,89,1274,1,1
92,90,1649,1,1
93,91,9629,1,1
94,92,4428,1,1
95,93,7987,1,1
96,94,8885,1,1
97,95,4475,1,1
98,96,5941,1,1
99,97,974,1,1
100,98,1980,1,1
101,99,8586,1,1
102,100,5458,1,1
103,101,4591,1,1
104,102,3701,1,1
105,102,8348,1,1
106,103,5404,1,1
107,104,1231,1,1
108,105,7078,1,1
109,106,593,1,1
110,107,6027,1,1
111,108,654,1,1
112,109,9542,1,1
113,110,5022,1,1
114,111,8488,1,1
115,112,4766,1,1
116,113,6412,1,1
117,114,1563,1,1
118,114,8109,1,1
119,115,1540,1,1
120,116,7127,1,1
121,117,8317,1,1
122,118,4582,1,1
123,119,8849,1,1
124,120,2435,1,1
125,121,9158,1,1
126,122,2951,1,1
127,123,3226,1,1
128,124,5025,1,1
129,125,4655,1,1
130,126,474,1,1
131,127,6767,1,1
132,128,4808,1,1
133,129,7923,1,1
134,130,6791,1,1
135,131,6431,1,1
136,132,833,1,1
137,133,2496,1,1
138,134,6474,1,1
139,135,9731,1,1
140,136,394,1,1
141,137,4256,1,1
142,138,9803,1,1
143,139,2347,1,1
144,140,8499,1,1
145,141,3321,1,1
146,142,9192,1,1
147,143,8092,1,1
148,144,920,1,1
149,145,9363,1,1
150,146,5296,1,1
151,147,4840,1,1
152,148,6247,1,1
153,149,1724,1,1
154,150,4375,1,1
155,151,5200,1,1
156,152,8781,1,1
157,153,4565,1,1
158,154,7883,1,1
159,154,9060,1,1
160,155,563,1,1
161,156,2713,1,1
162,157,6983,1,1
163,158,1274,1,1
164,159,6842,1,1
165,160,523,1,1
166,161,5396,1,1
167,162,4473,1,1
168,163,1586,1,1
169,164,8765,1,1
170,165,8509,1,1
171,166,2999,1,1
172,167,7574,1,1
173,168,1287,1,1
