#,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.12.0', start_date='2022-03-22T06:37:34', checksum=3502110342, kind='mean', investigation_time=1.0, imt='PGA'"
lon,lat,depth,poe-0.0050000,poe-0.0070000,poe-0.0098000,poe-0.0137000,poe-0.0192000,poe-0.0269000,poe-0.0376000,poe-0.0527000,poe-0.0738000,poe-0.1030000,poe-0.1450000,poe-0.2030000,poe-0.2840000,poe-0.3970000,poe-0.5560000,poe-0.7780000,poe-1.0900000,poe-1.5200000,poe-2.1300000
85.34865,27.73692,0.00000,1.409968E-01,1.241082E-01,1.062244E-01,8.792529E-02,6.865305E-02,5.168426E-02,3.674521E-02,2.520786E-02,1.583937E-02,9.069130E-03,5.293109E-03,2.654906E-03,1.264241E-03,3.160603E-04,1.264241E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
85.34600,27.73469,0.00000,1.429657E-01,1.265134E-01,1.058448E-01,8.697735E-02,6.848332E-02,5.172782E-02,3.564735E-02,2.583998E-02,1.718353E-02,9.884335E-03,5.878721E-03,2.907755E-03,1.327453E-03,5.056965E-04,1.264241E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
85.34141,27.74420,0.00000,1.357988E-01,1.198951E-01,1.004825E-01,8.259442E-02,6.473255E-02,4.682614E-02,3.407065E-02,2.260306E-02,1.429248E-02,8.516924E-03,5.246601E-03,2.718118E-03,1.390665E-03,5.689085E-04,3.160603E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
85.35196,27.69489,0.00000,1.419359E-01,1.250632E-01,1.065923E-01,8.820418E-02,7.039933E-02,5.178088E-02,3.638919E-02,2.393707E-02,1.557342E-02,9.165748E-03,4.930540E-03,2.149210E-03,1.074605E-03,3.160603E-04,1.264241E-04,6.321206E-05,0.000000E+00,0.000000E+00,0.000000E+00
85.34871,27.67987,0.00000,1.449609E-01,1.293255E-01,1.122628E-01,9.204717E-02,7.334745E-02,5.502140E-02,3.847519E-02,2.559368E-02,1.633852E-02,9.545021E-03,4.614480E-03,2.022786E-03,8.217567E-04,2.528482E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
85.34839,27.67992,0.00000,1.470113E-01,1.304880E-01,1.113224E-01,9.360222E-02,7.296977E-02,5.424975E-02,3.839232E-02,2.560383E-02,1.701059E-02,9.884335E-03,4.614480E-03,2.212422E-03,9.481809E-04,1.896362E-04,1.896362E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
85.28203,27.66860,0.00000,1.293725E-01,1.104943E-01,8.995167E-02,7.203174E-02,5.559886E-02,4.034830E-02,2.634567E-02,1.777569E-02,1.060292E-02,6.470884E-03,3.476663E-03,1.769938E-03,1.074605E-03,5.056965E-04,2.528482E-04,6.321206E-05,0.000000E+00,0.000000E+00,0.000000E+00
85.34721,27.68151,0.00000,1.449448E-01,1.290514E-01,1.105573E-01,9.025398E-02,7.256365E-02,5.363368E-02,3.818238E-02,2.655856E-02,1.722348E-02,1.039658E-02,5.885272E-03,2.907755E-03,9.481809E-04,5.056965E-04,2.528482E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
85.34231,27.67441,0.00000,1.462338E-01,1.298879E-01,1.133356E-01,9.469553E-02,7.471900E-02,5.697737E-02,3.990581E-02,2.734036E-02,1.617213E-02,9.545021E-03,5.689085E-03,2.022786E-03,1.074605E-03,2.528482E-04,1.264241E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
85.34234,27.67425,0.00000,1.456663E-01,1.297430E-01,1.106644E-01,9.212373E-02,7.340731E-02,5.487331E-02,3.954324E-02,2.820208E-02,1.791882E-02,1.072935E-02,5.056965E-03,2.212422E-03,8.849688E-04,3.160603E-04,1.264241E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
