lon,lat,vs30,z1pt0,z2pt5,vs30measured,backarc
85.3486526,27.7369249,310,450.752394722168,1.69276162296955,0,0
85.346003,27.7346935,310,450.752394722168,1.69276162296955,0,0
85.3414054,27.7442017,381,378.637547006877,1.33701232283181,0,0
85.3519589,27.6948936,282,471.789971064271,1.88637747660492,0,0
85.3487071,27.6798743,250,490.450794774234,2.16506137539656,0,0
85.3483882,27.6799216,250,490.450794774234,2.16506137539656,0,0
85.2820283,27.668605,526,198.405464978549,0.924497818906473,0,0
85.3472086,27.6815089,250,490.450794774234,2.16506137539656,0,0
85.342311,27.6744148,232,498.58256718739,2.35827978079614,0,0
85.3423357,27.6742527,232,498.58256718739,2.35827978079614,0,0
85.3578113,27.7811041,900,15.4580116559365,0.500103796430675,0,0
85.3573168,27.7807734,900,15.4580116559365,0.500103796430675,0,0
85.3597068,27.7828044,900,15.4580116559365,0.500103796430675,0,0
85.3594703,27.7830059,900,15.4580116559365,0.500103796430675,0,0
85.3179881,27.6766102,354,408.92781014418,1.45429948543012,0,0
85.3189094,27.6766792,354,408.92781014418,1.45429948543012,0,0
85.3289436,27.7209023,295,462.578226448207,1.79158408528115,0,0
85.3338691,27.7227758,329,433.955554228222,1.58139905506591,0,0
85.3336578,27.7226894,329,433.955554228222,1.58139905506591,0,0
85.3329078,27.722625,329,433.955554228222,1.58139905506591,0,0
85.3281138,27.7219492,295,462.578226448207,1.79158408528115,0,0
85.3280734,27.7220883,295,462.578226448207,1.79158408528115,0,0
85.3506989,27.6929314,282,471.789971064271,1.88637747660492,0,0
85.3506186,27.6912268,282,471.789971064271,1.88637747660492,0,0
85.3509199,27.6927624,282,471.789971064271,1.88637747660492,0,0
85.3505689,27.6930424,282,471.789971064271,1.88637747660492,0,0
85.3508603,27.6930337,282,471.789971064271,1.88637747660492,0,0
85.3501774,27.69131,282,471.789971064271,1.88637747660492,0,0
85.3276962,27.688288,299,459.550028877574,1.76419157102278,0,0
85.3277743,27.6884721,299,459.550028877574,1.76419157102278,0,0
85.3321085,27.6868879,274,476.983180512725,1.94951660367277,0,0
85.3321885,27.6869546,274,476.983180512725,1.94951660367277,0,0
85.3302587,27.685158,274,476.983180512725,1.94951660367277,0,0
85.3517147,27.6993417,377,383.31051273228,1.35325324626731,0,0
85.3468689,27.7154512,245,492.87233972936,2.21568277627367,0,0
85.3373767,27.6851573,274,476.983180512725,1.94951660367277,0,0
85.3143202,27.6890306,237,496.48439301783,2.30144963053497,0,0
85.3563311,27.7266603,345,418.301389951152,1.49778176002697,0,0
85.3366233,27.7259663,329,433.955554228222,1.58139905506591,0,0
85.3264976,27.7281398,295,462.578226448207,1.79158408528115,0,0
85.3264549,27.7283119,295,462.578226448207,1.79158408528115,0,0
85.3530777,27.7265423,299,459.550028877574,1.76419157102278,0,0
85.3498989,27.7139099,245,492.87233972936,2.21568277627367,0,0
85.3486066,27.7225297,299,459.550028877574,1.76419157102278,0,0
85.4363529,27.6757082,248,491.434802024872,2.18504738407354,0,0
85.3135288,27.737472,348,415.220656061316,1.48301972400478,0,0
85.331609,27.7428432,430,317.788400733027,1.16419483725697,0,0
85.3260815,27.727879,295,462.578226448207,1.79158408528115,0,0
85.3250455,27.7260468,295,462.578226448207,1.79158408528115,0,0
85.3230482,27.7186073,300,458.778710889146,1.75746573662477,0,0
85.3310517,27.7218927,329,433.955554228222,1.58139905506591,0,0
85.3348707,27.7187424,291,465.515101145248,1.81978467264502,0,0
85.3348906,27.7185667,291,465.515101145248,1.81978467264502,0,0
85.3330066,27.7278378,329,433.955554228222,1.58139905506591,0,0
85.3309713,27.7144292,291,465.515101145248,1.81978467264502,0,0
