#,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.12.0', start_date='2022-03-22T14:57:55', checksum=3502110342, kind='mean', investigation_time=1.0, imt='PGA'"
lon,lat,depth,poe-0.0010000,poe-0.0030000,poe-0.0050000,poe-0.0070000,poe-0.0098000,poe-0.0137000,poe-0.0192000,poe-0.0269000,poe-0.0376000,poe-0.0527000,poe-0.0738000,poe-0.1030000,poe-0.1450000,poe-0.2030000,poe-0.2840000,poe-0.3970000,poe-0.5560000,poe-0.7780000,poe-1.0900000
85.34865,27.73692,0.00000,1.904280E-01,1.657964E-01,1.427656E-01,1.266494E-01,1.078710E-01,8.692064E-02,6.966604E-02,5.134200E-02,3.635283E-02,2.366096E-02,1.526391E-02,9.189002E-03,5.246601E-03,2.591694E-03,1.264241E-03,6.321206E-04,2.528482E-04,0.000000E+00,0.000000E+00
85.34600,27.73469,0.00000,1.900949E-01,1.673195E-01,1.439932E-01,1.269394E-01,1.081590E-01,8.874729E-02,6.956512E-02,5.126928E-02,3.641310E-02,2.452268E-02,1.517744E-02,9.505062E-03,4.108784E-03,2.022786E-03,1.074605E-03,4.424844E-04,1.896362E-04,6.321206E-05,0.000000E+00
85.34141,27.74420,0.00000,1.895500E-01,1.640648E-01,1.402833E-01,1.225799E-01,1.035201E-01,8.385056E-02,6.405712E-02,4.728037E-02,3.428714E-02,2.226375E-02,1.384999E-02,8.580136E-03,4.953795E-03,2.654906E-03,1.327453E-03,8.217567E-04,1.896362E-04,0.000000E+00,0.000000E+00
85.35196,27.69489,0.00000,1.893914E-01,1.665729E-01,1.465703E-01,1.284212E-01,1.088641E-01,8.790682E-02,6.880458E-02,5.190955E-02,3.706847E-02,2.538439E-02,1.534383E-02,8.683306E-03,4.740904E-03,2.591694E-03,1.074605E-03,4.424844E-04,1.264241E-04,0.000000E+00,0.000000E+00
85.34871,27.67987,0.00000,1.898257E-01,1.686320E-01,1.479430E-01,1.292067E-01,1.103862E-01,9.048463E-02,7.219613E-02,5.565912E-02,3.914431E-02,2.522456E-02,1.528061E-02,9.275469E-03,5.246601E-03,2.149210E-03,6.321206E-04,2.528482E-04,0.000000E+00,0.000000E+00,0.000000E+00
85.34839,27.67992,0.00000,1.903465E-01,1.705854E-01,1.474763E-01,1.298160E-01,1.109678E-01,9.140154E-02,7.314791E-02,5.385737E-02,3.849549E-02,2.614294E-02,1.597595E-02,1.005072E-02,4.488056E-03,1.896362E-03,5.689085E-04,1.264241E-04,6.321206E-05,0.000000E+00,0.000000E+00
85.28203,27.66860,0.00000,1.849430E-01,1.566529E-01,1.315839E-01,1.126008E-01,9.302540E-02,7.322582E-02,5.473379E-02,3.832256E-02,2.625266E-02,1.690742E-02,1.005727E-02,6.384417E-03,3.223815E-03,1.769938E-03,8.849688E-04,3.792723E-04,1.264241E-04,6.321206E-05,0.000000E+00
85.34721,27.68151,0.00000,1.893665E-01,1.698993E-01,1.489325E-01,1.323146E-01,1.129241E-01,9.343448E-02,7.465284E-02,5.503515E-02,3.963331E-02,2.607972E-02,1.504447E-02,8.660052E-03,4.108784E-03,2.275634E-03,1.074605E-03,2.528482E-04,1.264241E-04,6.321206E-05,0.000000E+00
85.34231,27.67441,0.00000,1.899619E-01,1.710017E-01,1.505356E-01,1.340112E-01,1.128491E-01,9.386386E-02,7.438234E-02,5.674388E-02,4.005254E-02,2.656872E-02,1.636177E-02,8.936155E-03,4.867328E-03,2.465270E-03,1.137817E-03,4.424844E-04,2.528482E-04,6.321206E-05,0.000000E+00
85.34234,27.67425,0.00000,1.891202E-01,1.691806E-01,1.492706E-01,1.332311E-01,1.150838E-01,9.573533E-02,7.564179E-02,5.616282E-02,3.968837E-02,2.649736E-02,1.591273E-02,8.872942E-03,4.740904E-03,2.718118E-03,1.011393E-03,1.896362E-04,6.321206E-05,0.000000E+00,0.000000E+00
85.35781,27.78110,0.00000,1.878782E-01,1.529705E-01,1.241289E-01,1.049094E-01,8.358260E-02,6.591193E-02,5.105279E-02,3.649956E-02,2.491865E-02,1.572310E-02,9.717953E-03,5.838763E-03,3.476663E-03,2.085998E-03,1.011393E-03,5.056965E-04,1.264241E-04,6.321206E-05,0.000000E+00
85.35732,27.78077,0.00000,1.878092E-01,1.505617E-01,1.254739E-01,1.055143E-01,8.651026E-02,6.788366E-02,5.117307E-02,3.632958E-02,2.539094E-02,1.617213E-02,9.907589E-03,5.649128E-03,2.718118E-03,1.074605E-03,4.424844E-04,1.264241E-04,6.321206E-05,0.000000E+00,0.000000E+00
85.35971,27.78280,0.00000,1.869644E-01,1.516705E-01,1.245091E-01,1.057285E-01,8.700756E-02,6.919441E-02,5.362283E-02,3.843228E-02,2.572371E-02,1.616558E-02,9.189002E-03,5.775551E-03,3.183857E-03,1.390665E-03,7.585447E-04,1.896362E-04,6.321206E-05,6.321206E-05,0.000000E+00
85.35947,27.78301,0.00000,1.881629E-01,1.525139E-01,1.243695E-01,1.051424E-01,8.477749E-02,6.559987E-02,4.981180E-02,3.803831E-02,2.589664E-02,1.663132E-02,1.022365E-02,5.246601E-03,2.528482E-03,1.264241E-03,6.953326E-04,3.792723E-04,0.000000E+00,0.000000E+00,0.000000E+00
85.31799,27.67661,0.00000,1.869529E-01,1.648912E-01,1.413591E-01,1.222561E-01,1.017562E-01,8.193295E-02,6.378102E-02,4.824821E-02,3.375659E-02,2.258636E-02,1.300498E-02,6.913369E-03,3.982360E-03,1.896362E-03,1.264241E-03,3.160603E-04,1.896362E-04,6.321206E-05,0.000000E+00
85.31891,27.67668,0.00000,1.883204E-01,1.625641E-01,1.399533E-01,1.214303E-01,1.025014E-01,8.404954E-02,6.564102E-02,4.874239E-02,3.379815E-02,2.287261E-02,1.443560E-02,8.596839E-03,4.235208E-03,2.528482E-03,1.011393E-03,5.689085E-04,2.528482E-04,0.000000E+00,0.000000E+00
85.32894,27.72090,0.00000,1.900235E-01,1.661761E-01,1.436979E-01,1.266845E-01,1.072623E-01,8.799984E-02,7.098199E-02,5.411022E-02,3.737638E-02,2.555077E-02,1.660807E-02,8.769773E-03,4.953795E-03,2.149210E-03,9.481809E-04,5.056965E-04,6.321206E-05,0.000000E+00,0.000000E+00
