#,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.12.0', start_date='2022-03-22T13:46:16', checksum=3502110342, kind='mean', investigation_time=1.0, imt='PGA'"
lon,lat,depth,poe-0.0010000,poe-0.0030000,poe-0.0050000,poe-0.0070000,poe-0.0098000,poe-0.0137000,poe-0.0192000,poe-0.0269000,poe-0.0376000,poe-0.0527000,poe-0.0738000,poe-0.1030000,poe-0.1450000,poe-0.2030000,poe-0.2840000,poe-0.3970000,poe-0.5560000,poe-0.7780000,poe-1.0900000
85.34865,27.73692,0.00000,1.887587E-01,1.665008E-01,1.445397E-01,1.264972E-01,1.068916E-01,8.789613E-02,6.963529E-02,5.117307E-02,3.529694E-02,2.374088E-02,1.559667E-02,9.608232E-03,5.183388E-03,2.844542E-03,1.390665E-03,4.424844E-04,1.264241E-04,6.321206E-05,0.000000E+00
85.34600,27.73469,0.00000,1.885609E-01,1.663602E-01,1.433268E-01,1.276764E-01,1.083171E-01,8.839928E-02,6.822097E-02,5.098303E-02,3.639479E-02,2.378084E-02,1.534383E-02,9.481808E-03,4.677692E-03,2.718118E-03,1.137817E-03,3.792723E-04,6.321206E-05,0.000000E+00,0.000000E+00
85.34141,27.74420,0.00000,1.883186E-01,1.632321E-01,1.399768E-01,1.214174E-01,1.033711E-01,8.451887E-02,6.498405E-02,4.794389E-02,3.306941E-02,2.190773E-02,1.399312E-02,8.936155E-03,5.625873E-03,2.907755E-03,1.453877E-03,1.011393E-03,4.424844E-04,0.000000E+00,0.000000E+00
85.35196,27.69489,0.00000,1.882925E-01,1.672379E-01,1.440450E-01,1.283224E-01,1.094458E-01,9.148506E-02,7.191548E-02,5.365304E-02,3.690864E-02,2.285591E-02,1.448211E-02,9.125791E-03,5.056965E-03,2.591694E-03,1.137817E-03,5.056965E-04,1.896362E-04,0.000000E+00,0.000000E+00
85.34871,27.67987,0.00000,1.880417E-01,1.698497E-01,1.498402E-01,1.325303E-01,1.140663E-01,9.442303E-02,7.300318E-02,5.299366E-02,3.806971E-02,2.330494E-02,1.490789E-02,9.252215E-03,4.804116E-03,2.718118E-03,1.201029E-03,6.321206E-04,1.896362E-04,0.000000E+00,0.000000E+00
85.34839,27.67992,0.00000,1.882758E-01,1.684635E-01,1.485234E-01,1.322230E-01,1.129401E-01,9.383901E-02,7.359080E-02,5.399395E-02,3.842573E-02,2.578692E-02,1.535038E-02,9.109087E-03,4.867328E-03,2.907755E-03,1.327453E-03,6.953326E-04,1.896362E-04,0.000000E+00,0.000000E+00
85.28203,27.66860,0.00000,1.847723E-01,1.544929E-01,1.312755E-01,1.131112E-01,9.261792E-02,7.367645E-02,5.590141E-02,3.945022E-02,2.608627E-02,1.652815E-02,1.007397E-02,6.384417E-03,3.413451E-03,2.212422E-03,1.011393E-03,5.056965E-04,1.896362E-04,0.000000E+00,0.000000E+00
85.34721,27.68151,0.00000,1.883790E-01,1.687783E-01,1.488436E-01,1.330660E-01,1.133001E-01,9.363013E-02,7.315646E-02,5.459107E-02,3.834422E-02,2.534443E-02,1.517744E-02,9.102536E-03,4.677692E-03,3.034179E-03,1.580301E-03,3.792723E-04,2.528482E-04,6.321206E-05,0.000000E+00
85.34231,27.67441,0.00000,1.882910E-01,1.691829E-01,1.488194E-01,1.334464E-01,1.154735E-01,9.486751E-02,7.463159E-02,5.401561E-02,3.871039E-02,2.567720E-02,1.555672E-02,9.125791E-03,5.309813E-03,2.402058E-03,1.201029E-03,5.689085E-04,2.528482E-04,1.264241E-04,0.000000E+00
85.34234,27.67425,0.00000,1.877722E-01,1.688424E-01,1.500475E-01,1.336510E-01,1.133886E-01,9.555949E-02,7.495325E-02,5.445769E-02,3.884136E-02,2.506833E-02,1.608567E-02,1.042999E-02,5.625873E-03,2.654906E-03,1.453877E-03,6.321206E-04,6.321206E-05,0.000000E+00,0.000000E+00
85.35781,27.78110,0.00000,1.858131E-01,1.498841E-01,1.277612E-01,1.060983E-01,8.705567E-02,6.835034E-02,5.097742E-02,3.687523E-02,2.518460E-02,1.648164E-02,9.987505E-03,6.194782E-03,3.476663E-03,1.833150E-03,8.217567E-04,1.896362E-04,6.321206E-05,0.000000E+00,0.000000E+00
85.35732,27.78077,0.00000,1.859649E-01,1.515039E-01,1.248611E-01,1.058719E-01,8.731331E-02,6.792025E-02,5.127743E-02,3.630992E-02,2.472902E-02,1.513749E-02,9.102536E-03,5.373025E-03,3.729511E-03,2.085998E-03,9.481809E-04,4.424844E-04,1.264241E-04,1.264241E-04,0.000000E+00
85.35971,27.78280,0.00000,1.858617E-01,1.516703E-01,1.243062E-01,1.051060E-01,8.665633E-02,6.694162E-02,5.047733E-02,3.596701E-02,2.391381E-02,1.488464E-02,9.528317E-03,6.407672E-03,3.413451E-03,1.896362E-03,8.217567E-04,4.424844E-04,1.264241E-04,6.321206E-05,0.000000E+00
85.35947,27.78301,0.00000,1.852159E-01,1.506108E-01,1.239127E-01,1.062146E-01,8.707556E-02,6.793631E-02,5.192920E-02,3.786337E-02,2.599981E-02,1.678100E-02,1.016044E-02,6.281248E-03,3.792723E-03,2.085998E-03,1.074605E-03,1.896362E-04,6.321206E-05,0.000000E+00,0.000000E+00
85.31799,27.67661,0.00000,1.867982E-01,1.633553E-01,1.401131E-01,1.225707E-01,1.043516E-01,8.547042E-02,6.433523E-02,4.788363E-02,3.201151E-02,2.072340E-02,1.298173E-02,7.735125E-03,4.740904E-03,2.338846E-03,1.390665E-03,3.792723E-04,1.264241E-04,6.321206E-05,0.000000E+00
85.31891,27.67668,0.00000,1.868872E-01,1.622960E-01,1.412695E-01,1.231116E-01,1.053487E-01,8.466496E-02,6.470754E-02,4.597417E-02,3.200495E-02,2.063038E-02,1.276883E-02,7.964719E-03,4.677692E-03,2.591694E-03,1.074605E-03,6.953326E-04,1.264241E-04,6.321206E-05,0.000000E+00
85.32894,27.72090,0.00000,1.884324E-01,1.676990E-01,1.460713E-01,1.284078E-01,1.110505E-01,8.971377E-02,6.893955E-02,5.057690E-02,3.603677E-02,2.441951E-02,1.606241E-02,9.441851E-03,4.930540E-03,2.654906E-03,1.327453E-03,4.424844E-04,1.264241E-04,0.000000E+00,0.000000E+00
85.33387,27.72278,0.00000,1.875985E-01,1.647015E-01,1.418731E-01,1.243975E-01,1.059657E-01,8.597651E-02,6.677564E-02,4.888032E-02,3.466641E-02,2.333180E-02,1.411954E-02,8.343992E-03,4.804116E-03,2.528482E-03,1.453877E-03,6.953326E-04,3.160603E-04,0.000000E+00,0.000000E+00
85.33366,27.72269,0.00000,1.881139E-01,1.647191E-01,1.436277E-01,1.263827E-01,1.077629E-01,8.743240E-02,6.833069E-02,5.189620E-02,3.609343E-02,2.403368E-02,1.551021E-02,9.292172E-03,4.930540E-03,2.591694E-03,9.481809E-04,4.424844E-04,1.896362E-04,0.000000E+00,0.000000E+00
85.33291,27.72262,0.00000,1.881127E-01,1.638904E-01,1.432620E-01,1.255194E-01,1.068392E-01,8.703761E-02,6.629025E-02,4.879386E-02,3.532019E-02,2.299904E-02,1.468845E-02,9.292172E-03,5.120176E-03,2.907755E-03,1.137817E-03,5.689085E-04,6.321206E-05,6.321206E-05,0.000000E+00
