#,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.12.0', start_date='2022-03-22T16:34:42', checksum=3502110342, kind='mean', investigation_time=1.0, imt='PGA'"
lon,lat,depth,poe-0.0010000,poe-0.0030000,poe-0.0050000,poe-0.0070000,poe-0.0098000,poe-0.0137000,poe-0.0192000,poe-0.0269000,poe-0.0376000,poe-0.0527000,poe-0.0738000,poe-0.1030000,poe-0.1450000,poe-0.2030000,poe-0.2840000,poe-0.3970000,poe-0.5560000,poe-0.7780000,poe-1.0900000
85.34865,27.73692,0.00000,1.860887E-01,1.629731E-01,1.420438E-01,1.259399E-01,1.083295E-01,8.784378E-02,6.921382E-02,5.370905E-02,3.723621E-02,2.514665E-02,1.629041E-02,8.919451E-03,4.281716E-03,1.959574E-03,5.689085E-04,2.528482E-04,1.264241E-04,6.321206E-05,0.000000E+00
85.34600,27.73469,0.00000,1.868943E-01,1.628764E-01,1.423643E-01,1.253090E-01,1.069421E-01,8.724170E-02,6.900436E-02,5.164495E-02,3.636954E-02,2.492520E-02,1.528717E-02,8.723264E-03,4.045572E-03,2.212422E-03,1.011393E-03,3.792723E-04,6.321206E-05,0.000000E+00,0.000000E+00
85.34141,27.74420,0.00000,1.856106E-01,1.601542E-01,1.379994E-01,1.217433E-01,1.016812E-01,8.393662E-02,6.523784E-02,4.624867E-02,3.352340E-02,2.234861E-02,1.393646E-02,7.924762E-03,3.792723E-03,1.201029E-03,6.953326E-04,4.424844E-04,1.264241E-04,0.000000E+00,0.000000E+00
85.35196,27.69489,0.00000,1.844884E-01,1.629104E-01,1.411150E-01,1.260200E-01,1.076569E-01,8.913667E-02,7.028051E-02,5.307198E-02,3.905425E-02,2.573681E-02,1.475821E-02,8.706560E-03,4.804116E-03,2.085998E-03,9.481809E-04,2.528482E-04,0.000000E+00,0.000000E+00,0.000000E+00
85.34871,27.67987,0.00000,1.854431E-01,1.650991E-01,1.455184E-01,1.286018E-01,1.104054E-01,9.157234E-02,7.215002E-02,5.402016E-02,3.768684E-02,2.519115E-02,1.629856E-02,9.378639E-03,4.993753E-03,2.402058E-03,1.201029E-03,3.792723E-04,0.000000E+00,0.000000E+00,0.000000E+00
85.34839,27.67992,0.00000,1.851519E-01,1.650306E-01,1.471581E-01,1.295530E-01,1.116818E-01,9.244020E-02,7.303299E-02,5.437417E-02,3.869168E-02,2.600636E-02,1.621209E-02,1.020040E-02,5.269855E-03,2.402058E-03,1.074605E-03,3.160603E-04,0.000000E+00,0.000000E+00,0.000000E+00
85.28203,27.66860,0.00000,1.803348E-01,1.522892E-01,1.281728E-01,1.122924E-01,9.431826E-02,7.564434E-02,5.773951E-02,4.152807E-02,2.838357E-02,1.744293E-02,1.100545E-02,6.005145E-03,2.718118E-03,1.327453E-03,6.321206E-04,1.896362E-04,6.321206E-05,0.000000E+00,0.000000E+00
85.34721,27.68151,0.00000,1.845414E-01,1.659136E-01,1.470025E-01,1.301674E-01,1.127498E-01,9.310253E-02,7.237147E-02,5.315029E-02,3.834221E-02,2.605942E-02,1.596580E-02,8.982663E-03,4.511310E-03,2.275634E-03,8.849688E-04,2.528482E-04,0.000000E+00,0.000000E+00,0.000000E+00
85.34231,27.67441,0.00000,1.849591E-01,1.658707E-01,1.445185E-01,1.291810E-01,1.114466E-01,9.386668E-02,7.313042E-02,5.630275E-02,4.085440E-02,2.661523E-02,1.663132E-02,8.912900E-03,4.614480E-03,1.706725E-03,5.056965E-04,2.528482E-04,1.264241E-04,0.000000E+00,0.000000E+00
85.34234,27.67425,0.00000,1.849874E-01,1.664362E-01,1.473867E-01,1.310495E-01,1.130355E-01,9.399405E-02,7.424552E-02,5.458906E-02,3.891312E-02,2.637748E-02,1.641683E-02,9.528317E-03,4.424844E-03,1.580301E-03,6.321206E-04,6.321206E-05,0.000000E+00,0.000000E+00,0.000000E+00
