lon,lat,iml
79,26,0.0537158287885
79,26.15,0.0551460112139
79,26.3,0.0695826550428
79,26.45,0.0713104776619
79,26.6,0.0647557595534
79,26.75,0.0686080678156
79,26.9,0.0786155904257
79,27.05,0.0854291359871
79,27.2,0.0881533179623
79,27.35,0.0929180599095
79,27.5,0.0973195347848
79,27.65,0.0943735448318
79,27.8,0.109134706914
79,27.95,0.11415100434
79,28.1,0.123664032024
79,28.25,0.132916612262
79,28.4,0.145582223737
79,28.55,0.153514433237
79,28.7,0.178184981797
79,28.85,0.201405746885
79,29,0.231343032531
79,29.15,0.27008445197
79,29.3,0.344762796571
79,29.45,0.58701968487
79,29.6,0.622512556466
79,29.75,0.540303037188
79,29.9,0.568169440689
79,30.05,0.528728332967
79,30.2,0.521976489896
79,30.35,0.485300007602
79,30.5,0.438857336181
79,30.65,0.324777982016
79,30.8,0.248599383814
79,30.95,0.207448644994
79.15,26,0.0627659892016
79.15,26.15,0.0758474759339
79.15,26.3,0.0789815950139
79.15,26.45,0.0791896208388
79.15,26.6,0.0820310983343
79.15,26.75,0.0928090072518
79.15,26.9,0.0977857097847
79.15,27.05,0.101386514373
79.15,27.2,0.104329491246
79.15,27.35,0.109059905983
79.15,27.5,0.112167581122
79.15,27.65,0.113639583419
79.15,27.8,0.12523751547
79.15,27.95,0.129537382616
79.15,28.1,0.142811781401
79.15,28.25,0.151235908059
79.15,28.4,0.162884201747
79.15,28.55,0.179883340179
79.15,28.7,0.197610714088
79.15,28.85,0.222651824657
79.15,29,0.257516105404
79.15,29.15,0.301174917039
79.15,29.3,0.406355963669
79.15,29.45,0.617694537443
79.15,29.6,0.533352093861
79.15,29.75,0.542218786574
79.15,29.9,0.556731394859
79.15,30.05,0.524449871353
79.15,30.2,0.501009942421
79.15,30.35,0.464110504829
79.15,30.5,0.381967123269
79.15,30.65,0.272688930394
79.15,30.8,0.226723957616
79.15,30.95,0.194238034724
79.3,26,0.0731707429705
79.3,26.15,0.0875115486423
79.3,26.3,0.100166518956
79.3,26.45,0.0997207522012
79.3,26.6,0.105889047244
79.3,26.75,0.110120191376
79.3,26.9,0.113440841465
79.3,27.05,0.116764690516
79.3,27.2,0.115993992897
79.3,27.35,0.123698683998
79.3,27.5,0.126334712454
79.3,27.65,0.133637474282
79.3,27.8,0.139539981238
79.3,27.95,0.147342014109
79.3,28.1,0.156098361262
79.3,28.25,0.166520230968
79.3,28.4,0.179638706899
79.3,28.55,0.19011099432
79.3,28.7,0.216291778448
79.3,28.85,0.23419850643
79.3,29,0.275156522315
79.3,29.15,0.333286642384
79.3,29.3,0.480013673798
79.3,29.45,0.516241337274
79.3,29.6,0.546714418721
79.3,29.75,0.563026807614
79.3,29.9,0.607557258065
79.3,30.05,0.520334079609
79.3,30.2,0.519647608123
79.3,30.35,0.44394993897
79.3,30.5,0.338304438842
79.3,30.65,0.246724486083
79.3,30.8,0.20817208827
79.3,30.95,0.178918716437
79.45,26,0.0761263289392
79.45,26.15,0.0985647729695
79.45,26.3,0.107762859471
79.45,26.45,0.10255146919
79.45,26.6,0.10971985989
79.45,26.75,0.118298549474
79.45,26.9,0.120223533109
79.45,27.05,0.122218097663
79.45,27.2,0.120460217712
79.45,27.35,0.12870268723
79.45,27.5,0.134944680309
79.45,27.65,0.140745310104
79.45,27.8,0.148128991927
79.45,27.95,0.152847255816
79.45,28.1,0.163030743943
79.45,28.25,0.173242529279
79.45,28.4,0.180700542059
79.45,28.55,0.207163484108
79.45,28.7,0.229391567854
79.45,28.85,0.259508560205
79.45,29,0.298067591722
79.45,29.15,0.384677783883
79.45,29.3,0.490365348662
79.45,29.45,0.531310149157
79.45,29.6,0.549503071321
79.45,29.75,0.635606375627
79.45,29.9,0.531436339841
79.45,30.05,0.508563127793
79.45,30.2,0.47812395565
79.45,30.35,0.41294744041
79.45,30.5,0.286979289748
79.45,30.65,0.228263020676
79.45,30.8,0.194933509685
79.45,30.95,0.167930290263
79.6,26,0.0819735222559
79.6,26.15,0.0896373747872
79.6,26.3,0.109868565051
79.6,26.45,0.116436910935
79.6,26.6,0.118547372875
79.6,26.75,0.121858800459
79.6,26.9,0.124311978565
79.6,27.05,0.126419403829
79.6,27.2,0.122512806324
79.6,27.35,0.132234271639
79.6,27.5,0.13899300874
79.6,27.65,0.145852102547
79.6,27.8,0.145025881262
79.6,27.95,0.158457552346
79.6,28.1,0.166790676988
79.6,28.25,0.18026730782
79.6,28.4,0.196766295846
79.6,28.55,0.215569390248
79.6,28.7,0.239870483105
79.6,28.85,0.277397199477
79.6,29,0.329182485136
79.6,29.15,0.472352019475
79.6,29.3,0.515301153134
79.6,29.45,0.536891573262
79.6,29.6,0.62878316306
79.6,29.75,0.55833875209
79.6,29.9,0.619285006085
79.6,30.05,0.500914510137
79.6,30.2,0.459535808334
79.6,30.35,0.362387471146
79.6,30.5,0.258650294029
79.6,30.65,0.213222298068
79.6,30.8,0.183329976418
79.6,30.95,0.15911534618
79.75,26,0.0840865230765
79.75,26.15,0.0927569630142
79.75,26.3,0.11370273503
79.75,26.45,0.112223870694
79.75,26.6,0.119981886321
79.75,26.75,0.123174884221
79.75,26.9,0.125813953018
