#,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.12.0', start_date='2022-03-21T04:26:59', checksum=3502110342, kind='mean', investigation_time=1.0, imt='PGA'"
lon,lat,depth,poe-0.0050000,poe-0.0070000,poe-0.0098000,poe-0.0137000,poe-0.0192000,poe-0.0269000,poe-0.0376000,poe-0.0527000,poe-0.0738000,poe-0.1030000,poe-0.1450000,poe-0.2030000,poe-0.2840000,poe-0.3970000,poe-0.5560000,poe-0.7780000,poe-1.0900000,poe-1.5200000,poe-2.1300000
85.34865,27.73692,0.00000,1.456375E-01,1.268732E-01,1.066845E-01,8.798935E-02,7.010618E-02,5.220116E-02,3.781031E-02,2.585013E-02,1.625205E-02,1.024035E-02,5.246601E-03,2.970967E-03,1.580301E-03,6.953326E-04,1.896362E-04,6.321206E-05,0.000000E+00,0.000000E+00,0.000000E+00
85.34600,27.73469,0.00000,1.435199E-01,1.257696E-01,1.074247E-01,8.859661E-02,6.962100E-02,5.210214E-02,3.773040E-02,2.611968E-02,1.690742E-02,1.072935E-02,6.407672E-03,2.970967E-03,1.074605E-03,4.424844E-04,1.264241E-04,6.321206E-05,6.321206E-05,0.000000E+00,0.000000E+00
85.34141,27.74420,0.00000,1.380754E-01,1.218362E-01,1.036483E-01,8.335862E-02,6.461293E-02,4.907156E-02,3.510530E-02,2.319522E-02,1.617213E-02,9.465105E-03,4.953795E-03,2.338846E-03,1.201029E-03,5.056965E-04,3.792723E-04,6.321206E-05,6.321206E-05,6.321206E-05,0.000000E+00
85.35196,27.69489,0.00000,1.452317E-01,1.281043E-01,1.096677E-01,9.135469E-02,7.263967E-02,5.513632E-02,3.912106E-02,2.622940E-02,1.747633E-02,1.080926E-02,6.763690E-03,3.666299E-03,1.517089E-03,7.585447E-04,3.792723E-04,6.321206E-05,0.000000E+00,0.000000E+00,0.000000E+00
85.34871,27.67987,0.00000,1.465944E-01,1.319368E-01,1.127928E-01,9.278486E-02,7.204390E-02,5.467753E-02,4.009905E-02,2.812576E-02,1.764271E-02,9.797868E-03,5.309813E-03,2.970967E-03,1.580301E-03,3.792723E-04,1.264241E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
85.34839,27.67992,0.00000,1.473474E-01,1.309609E-01,1.114349E-01,9.394774E-02,7.432269E-02,5.424720E-02,3.856071E-02,2.659197E-02,1.613218E-02,9.734657E-03,5.436237E-03,2.718118E-03,1.074605E-03,5.056965E-04,2.528482E-04,1.896362E-04,6.321206E-05,0.000000E+00,0.000000E+00
85.28203,27.66860,0.00000,1.315757E-01,1.134486E-01,9.441908E-02,7.444296E-02,5.485447E-02,3.965857E-02,2.686152E-02,1.806850E-02,1.129826E-02,7.206175E-03,4.740904E-03,2.528482E-03,1.074605E-03,4.424844E-04,6.321206E-05,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
85.34721,27.68151,0.00000,1.494342E-01,1.321426E-01,1.117913E-01,9.078619E-02,7.266333E-02,5.593682E-02,3.912961E-02,2.537784E-02,1.641843E-02,1.102215E-02,5.838763E-03,3.223815E-03,1.769938E-03,5.056965E-04,1.264241E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
85.34231,27.67441,0.00000,1.507258E-01,1.332880E-01,1.145597E-01,9.404395E-02,7.417145E-02,5.526474E-02,4.006924E-02,2.725750E-02,1.755625E-02,1.080926E-02,5.878721E-03,3.097391E-03,1.327453E-03,5.056965E-04,6.321206E-05,6.321206E-05,0.000000E+00,0.000000E+00,0.000000E+00
85.34234,27.67425,0.00000,1.501013E-01,1.350143E-01,1.155057E-01,9.571058E-02,7.514329E-02,5.671047E-02,4.077768E-02,2.821223E-02,1.749304E-02,1.051646E-02,6.321206E-03,3.350239E-03,1.264241E-03,4.424844E-04,1.896362E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
85.35781,27.78110,0.00000,1.246664E-01,1.075810E-01,8.736738E-02,6.634646E-02,5.124103E-02,3.662753E-02,2.576366E-02,1.726344E-02,1.142468E-02,6.637266E-03,3.792723E-03,2.212422E-03,1.137817E-03,4.424844E-04,1.264241E-04,1.264241E-04,6.321206E-05,0.000000E+00,0.000000E+00
85.35732,27.78077,0.00000,1.251357E-01,1.057539E-01,8.650132E-02,6.852274E-02,5.121503E-02,3.774550E-02,2.652221E-02,1.827484E-02,1.156781E-02,7.395810E-03,4.108784E-03,2.338846E-03,9.481809E-04,4.424844E-04,1.896362E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
