lon lat pga(cm/s/s)
84.835 26.8167 13.1843
84.8517 26.8167 13.3617
84.8684 26.8167 13.4713
84.8851 26.8167 13.4837
84.9018 26.8167 13.372
84.9185 26.8167 13.1101
84.9352 26.8167 12.6717
84.9519 26.8167 12.0617
84.9686 26.8167 11.4094
84.9853 26.8167 10.8753
85.002 26.8167 10.6198
85.0187 26.8167 10.7688
85.0354 26.8167 11.3095
85.0521 26.8167 12.1945
85.0688 26.8167 13.3764
85.0855 26.8167 14.7757
85.1022 26.8167 16.1834
85.1189 26.8167 17.3586
85.1356 26.8167 18.0603
85.1523 26.8167 18.1251
85.169 26.8167 17.7008
85.1857 26.8167 17.0129
85.2024 26.8167 16.2868
85.2191 26.8167 15.7088
85.2358 26.8167 15.3069
85.2525 26.8167 15.0702
85.2692 26.8167 14.9873
85.2859 26.8167 15.0373
85.3026 26.8167 15.1597
85.3193 26.8167 15.2843
85.336 26.8167 15.3407
85.3527 26.8167 15.2836
85.3694 26.8167 15.1666
85.3861 26.8167 15.0684
85.4028 26.8167 15.0675
85.4195 26.8167 15.2229
85.4362 26.8167 15.5154
85.4529 26.8167 15.9062
85.4696 26.8167 16.3562
85.4863 26.8167 16.8126
85.503 26.8167 17.1656
85.5197 26.8167 17.2914
85.5364 26.8167 17.0663
85.5531 26.8167 16.4411
85.5698 26.8167 15.6658
85.5865 26.8167 15.0651
85.6032 26.8167 14.9637
85.6199 26.8167 15.5618
85.6366 26.8167 16.5609
85.6533 26.8167 17.5382
85.67 26.8167 18.0708
85.6867 26.8167 17.8539
85.7034 26.8167 17.0552
85.7201 26.8167 15.9608
85.7368 26.8167 14.8564
85.7535 26.8167 13.991
85.7702 26.8167 13.4652
85.7869 26.8167 13.3427
85.8036 26.8167 13.6872
85.8203 26.8167 14.5047
85.837 26.8167 15.5711
85.8537 26.8167 16.6047
85.8704 26.8167 17.3237
85.8871 26.8167 17.5208
85.9038 26.8167 17.2867
85.9205 26.8167 16.7865
85.9372 26.8167 16.1851
85.9539 26.8167 15.6347
85.9706 26.8167 15.235
85.9873 26.8167 15.0728
86.004 26.8167 15.2351
86.0207 26.8167 15.7477
86.0374 26.8167 16.3936
86.0541 26.8167 16.8948
86.0708 26.8167 16.9735
86.0875 26.8167 16.4538
86.1042 26.8167 15.5681
86.1209 26.8167 14.6511
86.1376 26.8167 14.0374
86.1543 26.8167 13.9581
86.171 26.8167 14.2309
86.1877 26.8167 14.57
86.2044 26.8167 14.6897
86.2211 26.8167 14.3831
86.2378 26.8167 13.7589
86.2545 26.8167 13.0048
86.2712 26.8167 12.3086
86.2879 26.8167 11.8234
86.3046 26.8167 11.5643
86.3213 26.8167 11.5119
86.338 26.8167 11.6467
86.3547 26.8167 11.9476
86.3714 26.8167 12.3868
86.3881 26.8167 12.9348
86.4048 26.8167 13.5623
86.4215 26.8167 14.2198
86.4382 26.8167 14.7791
86.4549 26.8167 15.0922
86.4716 26.8167 15.0108
86.4883 26.8167 14.4503
86.505 26.8167 13.5792
86.5217 26.8167 12.6294
86.5384 26.8167 11.8328
86.5551 26.8167 11.3704
86.5718 26.8167 11.2197
86.5885 26.8167 11.3076
86.6052 26.8167 11.5606
86.6219 26.8167 11.9015
86.6386 26.8167 12.2375
86.6553 26.8167 12.4714
86.672 26.8167 12.5066
86.6887 26.8167 12.2808
86.7054 26.8167 11.8711
